Cruise,Ship,Site,CTD station ,CTD number,Niskin bottle number,Sample ID,Date of collection,Latitude,Longitude ,Depth,Temperature ,Conductivity ,Sbeox0 ,Turbidity,AltM,Salinity ,DepSM,Phosphate,Silicate,Nitrate+ Nitrite  ,Ammonia,Fraction Modern,Fraction Modern (error),Conventional Radiocarbon Age,delta-C-13,Delta-C-14,Dissolved Inorganic Carbon
AT41,R/V Atlantis,Stetson Deep,AT41-CTD05,5,3,AT41-CTD05-N3,8/23/18,32.0269,-77.3724,786,6.3044,35.07618,6.4773,0.1366,12.49,35.088,786.965,1.32,12.16,20.45,0.07,0.9854,0.0019,0,0.73,-22.66,2.08
AT41,R/V Atlantis,Stetson Deep,AT41-CTD05,5,5,AT41-CTD05-N5,8/23/18,32.0269,-77.3724,750,9.2411,37.91261,4.4052,0.1403,48.17,35.2131,750.578,1.58,12.44,23.59,0.26,0.9894,0.0019,0,0.54,-18.71,2.11
AT41,R/V Atlantis,Stetson Deep,AT41-CTD05,5,7,AT41-CTD05-N7,8/23/18,32.0269,-77.3724,701,10.2624,38.96283,4.1643,0.1299,100.1,35.3171,701.062,1.37,11.56,21.91,0.09,0.9955,0.0019,0,0.52,-12.65,2.13
AT41,R/V Atlantis,Stetson Deep,AT41-CTD05,5,9,AT41-CTD05-N9,8/23/18,32.0269,-77.3724,600,13.3562,42.32615,4.0823,0.1265,72.66,35.7091,600.044,1.08,8.07,19.91,0.19,1.0402,0.0021,1,0.43,31.64,2.08
AT41,R/V Atlantis,Stetson Deep,AT41-CTD05,5,11,AT41-CTD05-N11,8/23/18,32.0269,-77.3724,499,16.0273,45.46413,4.8707,0.1193,99.16,36.1705,499.075,0.59,3.69,10.92,0.73,1.0656,0.0022,1,0.4,56.87,2.05
AT41,R/V Atlantis,Stetson Deep,AT41-CTD05,5,13,AT41-CTD05-N13,8/23/18,32.0269,-77.3724,400,18.3445,48.24162,5.7224,0.123,98.93,36.5475,400.173,0.23,1.35,4.34,0,1.0644,0.0022,1,0.4,55.69,2.02
AT41,R/V Atlantis,Stetson Deep,AT41-CTD05,5,15,AT41-CTD05-N15,8/23/18,32.0269,-77.3724,300,19.7069,49.78761,5.6943,0.1312,98.78,36.6822,300.31,0.14,1.22,2.76,0,1.0637,0.0022,1,0.44,55,2.01
AT41,R/V Atlantis,Stetson Deep,AT41-CTD05,5,17,AT41-CTD05-N17,8/23/18,32.0269,-77.3724,200,23.9946,54.63673,5.1204,0.1392,98.78,36.9179,200.494,0.11,0.74,1.74,0,1.0508,0.0021,1,0.55,42.15,2.04
AT41,R/V Atlantis,Stetson Deep,AT41-CTD05,5,19,AT41-CTD05-N19,8/23/18,32.0269,-77.3724,140,26.5068,56.78566,5.5133,0.1605,98.78,36.5006,139.015,0.03,0.53,0.43,0,1.0496,0.002,1,0.72,41.02,1.98
AT41,R/V Atlantis,Stetson Deep,AT41-CTD05,5,21,AT41-CTD05-N21,8/23/18,32.0269,-77.3724,100,27.5133,57.74051,5.9167,0.1564,75.65,36.4085,100.726,0.04,0.87,0.14,0.3,1.0497,0.0021,1,0.95,41.12,1.95
AT41,R/V Atlantis,Stetson Deep,AT41-CTD05,5,22,AT41-CTD05-N22,8/23/18,32.0269,-77.3724,26,29.7173,59.92414,5.8512,0.1528,80.93,36.2667,26.184,0.02,0.66,0.13,0.05,1.045,0.0021,1,0.98,36.4,1.92
AT41,R/V Atlantis,Stetson Deep,AT41-CTD05,5,24,AT41-CTD05-N24,8/23/18,32.0269,-77.3724,3,30.0084,60.24224,5.8146,0.1479,88.23,36.2717,3.021,0.03,0.7,0.28,0.6,1.0461,0.0025,1,0.95,37.52,1.95
AT41,R/V Atlantis,Blake Escaprment,AT41-CTD08,8,3,AT41-CTD08-N3,8/25/18,31.3249,-77.2403,1280,4.3242,33.41273,7.8981,0.1241,8.29,35.0002,1280.756,1.14,11.32,18.27,0.05,0.983,0.0019,0,0.83,-25.06,2.09
AT41,R/V Atlantis,Blake Escaprment,AT41-CTD08,8,5,AT41-CTD08-N5,8/25/18,31.3249,-77.2403,1230,4.3357,33.39811,7.8903,0.1209,8.21,34.9962,1230.105,1.23,11.43,17.7,0.16,0.981,0.002,0,0.9,-27.03,2.01
AT41,R/V Atlantis,Blake Escaprment,AT41-CTD08,8,7,AT41-CTD08-N7,8/25/18,31.3249,-77.2403,1180,4.4386,33.47458,7.8405,0.119,8.14,35.002,1180.479,1.22,11.63,18.28,0,0.9879,0.0023,0,0.85,-20.14,2.08
AT41,R/V Atlantis,Blake Escaprment,AT41-CTD08,8,9,AT41-CTD08-N9,8/25/18,31.3249,-77.2403,1000,5.6575,34.5547,6.7531,0.1121,8.18,35.0631,1000.301,1.34,11.88,20.13,0.28,0.9774,0.0021,0,0.77,-30.63,2.09
AT41,R/V Atlantis,Blake Escaprment,AT41-CTD08,8,11,AT41-CTD08-N11,8/25/18,31.3249,-77.2403,800,9.4338,38.1328,4.3216,0.1149,8.2,35.23,800.06,1.35,11.69,22.72,0.89,0.9871,0.002,0,0.61,-20.98,2.09
AT41,R/V Atlantis,Blake Escaprment,AT41-CTD08,8,13,AT41-CTD08-N13,8/25/18,31.3249,-77.2403,600,14.4702,43.65618,4.7245,0.1271,8.03,35.9164,600.01,0.46,2.49,4.81,0.1,1.0564,0.002,1,0.45,47.78,2.07
AT41,R/V Atlantis,Blake Escaprment,AT41-CTD08,8,15,AT41-CTD08-N15,8/25/18,31.3249,-77.2403,400,18.0508,47.88736,5.5233,0.1082,7.99,36.5063,400.15,0.34,2.05,6.11,0,1.0718,0.0022,1,0.43,63.01,2.02
AT41,R/V Atlantis,Blake Escaprment,AT41-CTD08,8,17,AT41-CTD08-N17,8/25/18,31.3249,-77.2403,250,19.3952,49.4042,6.0835,0.1164,7.96,36.655,250.885,0.13,1.11,2.23,0.1,1.0623,0.002,1,0.47,53.6,2
AT41,R/V Atlantis,Blake Escaprment,AT41-CTD08,8,19,AT41-CTD08-N19,8/25/18,31.3249,-77.2403,200,19.8291,49.88374,5.9102,0.1208,7.96,36.6918,200.482,0.11,0.91,1.84,0.73,1.0576,0.0022,1,0.45,48.92,2.02
AT41,R/V Atlantis,Blake Escaprment,AT41-CTD08,8,21,AT41-CTD08-N21,8/25/18,31.3249,-77.2403,93,22.4729,52.71472,6.8842,0.1346,7.89,36.7406,93.669,0.03,0.48,0.13,0.06,1.0554,0.0022,1,0.92,46.73,1.7
AT41,R/V Atlantis,Blake Escaprment,AT41-CTD08,8,22,AT41-CTD08-N22,8/25/18,31.3249,-77.2403,25,28.4473,58.40362,5.9589,0.1366,7.79,36.179,25.176,0.03,0.99,0.08,0.12,1.0494,0.0021,1,0.8,40.82,1.95
AT41,R/V Atlantis,Blake Escaprment,AT41-CTD08,8,24,AT41-CTD08-N24,8/25/18,31.3249,-77.2403,3,28.8068,58.69662,5.9203,0.138,7.77,36.1161,3.021,0.03,0.74,0.18,0.37,1.0388,0.0031,1,0.87,30.29,1.92
AT41,R/V Atlantis,Stetson Banks,AT41-CTD010,10,3,AT41-CTD010-N3,8/26/18,32.0118,-78.3132,553,8.4533,36.9754,3.836,0.1434,6.4,35.0979,553.592,1.26,11.06,16.44,0.05,0.9703,0.0019,0,0.49,-37.61,2.12
AT41,R/V Atlantis,Stetson Banks,AT41-CTD010,10,5,AT41-CTD010-N5,8/26/18,32.0118,-78.3132,501,8.4781,36.97872,3.8359,0.1374,98.78,35.1014,501.094,1.73,14.54,27.64,0.45,0.9704,0.0019,0,0.53,-37.53,2.15
AT41,R/V Atlantis,Stetson Banks,AT41-CTD010,10,7,AT41-CTD010-N7,8/26/18,32.0118,-78.3132,450,8.4738,36.95438,3.8508,0.1375,98.78,35.1036,450.627,1.86,16.15,28.44,0,0.9682,0.0022,0,0.55,-39.76,2.11
AT41,R/V Atlantis,Stetson Banks,AT41-CTD010,10,9,AT41-CTD010-N9,8/26/18,32.0118,-78.3132,400,8.4618,36.91922,3.8436,0.1439,98.78,35.1021,400.173,1.38,10.38,15.71,0.13,0.9688,0.0023,0,0.54,-39.12,2.13
AT41,R/V Atlantis,Stetson Banks,AT41-CTD010,10,11,AT41-CTD010-N11,8/26/18,32.0118,-78.3132,299,8.3826,36.81084,3.8452,0.1352,56.46,35.1136,299.301,1.83,15.51,27.4,0.13,0.9743,0.0019,0,0.58,-33.66,2.11
AT41,R/V Atlantis,Stetson Banks,AT41-CTD010,10,13,AT41-CTD010-N13,8/26/18,32.0118,-78.3132,250,10.6968,39.25355,3.7014,0.1338,76.04,35.3916,250.9,0.86,5.55,8.72,0.19,1.008,0.002,1,0.43,-0.21,2.13
AT41,R/V Atlantis,Stetson Banks,AT41-CTD010,10,15,AT41-CTD010-N15,8/26/18,32.0118,-78.3132,200,12.5635,41.40531,3.8474,0.142,73.76,35.7457,200.494,0.89,6.07,13.35,0,1.0464,0.0023,1,0.42,37.78,2.09
AT41,R/V Atlantis,Stetson Banks,AT41-CTD010,10,17,AT41-CTD010-N17,8/26/18,32.0118,-78.3132,150,14.7594,43.93714,4.1181,0.1361,86.82,36.0922,150.1,0.58,3.71,6.77,0,1.0537,0.0024,1,0.4,45.11,2.09
AT41,R/V Atlantis,Stetson Banks,AT41-CTD010,10,19,AT41-CTD010-N19,8/26/18,32.0118,-78.3132,99,23.7918,53.84866,5.7312,0.1476,94.26,36.5179,99.719,0.16,1.81,2.1,0.03,1.0455,0.0022,1,0.71,36.93,2.02
AT41,R/V Atlantis,Stetson Banks,AT41-CTD010,10,21,AT41-CTD010-N21,8/26/18,32.0118,-78.3132,74,26.8462,57.11802,6.06,0.152,96.84,36.4933,74.533,0.06,0.74,0.14,0,1.0501,0.0022,1,0.89,41.53,1.98
AT41,R/V Atlantis,Stetson Banks,AT41-CTD010,10,22,AT41-CTD010-N22,8/26/18,32.0118,-78.3132,30,29.5997,59.94308,5.8634,0.1468,98.78,36.3672,30.213,0.03,0.68,0.07,0,1.0438,0.0023,1,0.88,35.22,1.96
