Rk,Year,Pk,Tm,Player,College,Yrs,Total_G,Total_MP,Total_PTS,Total_TRB,Total_AST,FG%,3P%,FT%,Per_Game_MP,Per_Game_PTS,Per_Game_TRB,Per_Game_AST,WS,WS/48,BPM,VORP
1,2018,1,PHO,Deandre Ayton,Arizona,3,154,4794,2514,1658,264,0.579,0.206,0.754,31.1,16.3,10.8,1.7,14.4,0.144,0.3,2.8
2,2018,2,SAC,Marvin Bagley III,Duke,3,112,2852,1621,843,107,0.499,0.318,0.664,25.5,14.5,7.5,1,5.1,0.086,-2.1,-0.1
3,2018,3,ATL,Luka Dončić,,3,172,5738,4401,1458,1320,0.455,0.332,0.74,33.4,25.6,8.5,7.7,18.7,0.156,6.4,12.1
4,2018,4,MEM,Jaren Jackson Jr.,Michigan State,2,115,3137,1788,534,142,0.485,0.384,0.757,27.3,15.5,4.6,1.2,6.8,0.104,0.1,1.7
5,2018,5,DAL,Trae Young,Oklahoma,3,185,6139,4452,734,1628,0.429,0.347,0.855,33.2,24.1,4,8.8,14.3,0.112,2.1,6.3
6,2018,6,ORL,Mo Bamba,Texas,3,133,1908,747,632,91,0.47,0.317,0.614,14.3,5.6,4.8,0.7,4.7,0.119,-0.4,0.8
7,2018,7,CHI,Wendell Carter Jr.,Duke,3,120,3178,1295,970,198,0.51,0.238,0.751,26.5,10.8,8.1,1.7,7.4,0.112,-1.9,0.1
8,2018,8,CLE,Collin Sexton,Alabama,3,186,6151,3657,551,601,0.457,0.39,0.831,33.1,19.7,3,3.2,4.3,0.033,-2.7,-1.1
9,2018,9,NYK,Kevin Knox,Kentucky,3,172,3752,1528,572,160,0.369,0.344,0.703,21.8,8.9,3.3,0.9,-0.7,-0.009,-4.8,-2.7
10,2018,10,PHI,Mikal Bridges,Villanova,3,200,5931,1954,777,410,0.484,0.364,0.828,29.7,9.8,3.9,2.1,13,0.105,0.4,3.7
11,2018,11,CHO,Shai Gilgeous-Alexander,Kentucky,3,187,5782,3050,810,709,0.482,0.373,0.805,30.9,16.3,4.3,3.8,13.3,0.111,1.3,4.8
12,2018,12,LAC,Miles Bridges,Michigan State,3,190,4886,1877,944,298,0.452,0.338,0.814,25.7,9.9,5,1.6,6.7,0.066,-1.6,0.5
13,2018,13,LAC,Jerome Robinson,Boston College,3,110,1538,499,204,125,0.368,0.314,0.735,14,4.5,1.9,1.1,0.1,0.002,-4.7,-1
14,2018,14,DEN,Michael Porter Jr.,Missouri,2,91,1970,1097,525,80,0.519,0.432,0.79,21.6,12.1,5.8,0.9,6.5,0.158,1.6,1.8
15,2018,15,WAS,Troy Brown Jr.,Oregon,3,143,2813,1062,590,280,0.428,0.332,0.752,19.7,7.4,4.1,2,3,0.051,-2.1,0
16,2018,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,0.378,0.316,0.667,11,3.7,1.2,0.9,0,0.011,-6.1,-0.2
17,2018,17,MIL,Donte DiVincenzo,Villanova,3,137,3130,1213,621,318,0.436,0.345,0.715,22.8,8.9,4.5,2.3,7.3,0.112,0.3,1.9
18,2018,18,SAS,Lonnie Walker,Miami (FL),3,115,2074,861,259,138,0.421,0.375,0.752,18,7.5,2.3,1.2,0.9,0.021,-3.5,-0.8
19,2018,19,ATL,Kevin Huerter,Maryland,3,177,5244,1944,635,589,0.416,0.377,0.799,29.6,11,3.6,3.3,5.1,0.047,-1.7,0.4
20,2018,20,MIN,Josh Okogie,Georgia Tech,3,172,4017,1276,578,233,0.396,0.267,0.772,23.4,7.4,3.4,1.4,3.8,0.045,-3.1,-1.1
21,2018,21,UTA,Grayson Allen,Duke,3,107,1902,854,209,143,0.424,0.385,0.833,17.8,8,2,1.3,3,0.075,-1.8,0.1
22,2018,22,CHI,Chandler Hutchison,Boise State,3,79,1486,460,313,64,0.45,0.297,0.602,18.8,5.8,4,0.8,1.1,0.035,-3.7,-0.7
23,2018,23,IND,Aaron Holiday,UCLA,3,158,3003,1205,273,383,0.399,0.362,0.819,19,7.6,1.7,2.4,2.9,0.046,-2.5,-0.4
24,2018,24,POR,Anfernee Simons,,3,129,2246,973,257,167,0.406,0.371,0.784,17.4,7.5,2,1.3,1,0.021,-3.8,-1
25,2018,25,LAL,Moritz Wagner,Michigan,3,115,1672,783,383,113,0.495,0.302,0.81,14.5,6.8,3.3,1,2.8,0.08,-2.5,-0.2
26,2018,26,PHI,Landry Shamet,Wichita State,3,171,4039,1519,304,259,0.414,0.396,0.83,23.6,8.9,1.8,1.5,6.9,0.083,-2.1,-0.1
27,2018,27,BOS,Robert Williams,Texas A&M,3,100,1360,532,468,91,0.718,0,0.642,13.6,5.3,4.7,0.9,7,0.248,5.1,2.4
28,2018,28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,0.337,0.315,0.833,10.5,2.8,1.1,0.9,-0.6,-0.047,-7.4,-0.8
29,2018,29,BRK,Džanan Musa,,2,49,526,211,91,45,0.376,0.227,0.726,10.7,4.3,1.9,0.9,0,0.003,-4.6,-0.4
30,2018,30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,0.417,0.366,0.766,17.8,6.8,4.3,1,2.4,0.068,-1.5,0.2
31,2018,31,PHO,Elie Okobo,,2,108,1677,523,188,242,0.395,0.315,0.737,15.5,4.8,1.7,2.2,0.5,0.014,-4.1,-0.9
32,2018,32,MEM,Jevon Carter,West Virginia,3,131,1844,554,223,191,0.369,0.375,0.836,14.1,4.2,1.7,1.5,2.4,0.064,-0.8,0.5
33,2018,33,DAL,Jalen Brunson,Villanova,3,170,3618,1647,444,548,0.484,0.364,0.771,21.3,9.7,2.6,3.2,7.4,0.099,-1,0.9
34,2018,34,ATL,Devonte' Graham,Kansas,3,144,3946,1848,365,772,0.375,0.364,0.81,27.4,12.8,2.5,5.4,5.7,0.07,-0.6,1.4
35,2018,35,ORL,Melvin Frazier,Tulane,2,29,170,55,15,4,0.4,0.364,0.375,5.9,1.9,0.5,0.1,0,0.008,-5.4,-0.2
36,2018,36,NYK,Mitchell Robinson,,3,158,3625,1331,1103,90,0.705,0,0.568,22.9,8.4,7,0.6,16.2,0.215,2.3,3.9
37,2018,37,SAC,Gary Trent Jr.,Duke,3,119,2765,1208,209,124,0.42,0.396,0.767,23.2,10.2,1.8,1,3.4,0.059,-1.9,0.1
38,2018,38,PHI,Khyri Thomas,Creighton,2,34,256,78,21,11,0.314,0.306,0.6,7.5,2.3,0.6,0.3,0,-0.005,-5.7,-0.2
39,2018,39,PHI,Isaac Bonga,,3,117,1715,409,304,108,0.448,0.316,0.764,14.7,3.5,2.6,0.9,1.7,0.047,-3.6,-0.7
40,2018,40,BRK,Rodions Kurucs,,3,126,2069,765,397,109,0.442,0.323,0.735,16.4,6.1,3.2,0.9,2.2,0.05,-2.9,-0.4
41,2018,41,ORL,Jarred Vanderbilt,Kentucky,3,72,900,276,270,63,0.589,0.167,0.593,12.5,3.8,3.8,0.9,1.9,0.101,-1.6,0.1
42,2018,42,DET,Bruce Brown,Miami (FL),3,174,3966,1183,647,381,0.455,0.293,0.737,22.8,6.8,3.7,2.2,5.8,0.07,-2,-0.1
43,2018,43,BRK,Hamidou Diallo,Kentucky,3,130,2202,895,431,130,0.462,0.262,0.621,16.9,6.9,3.3,1,2.4,0.053,-3.3,-0.7
44,2018,44,HOU,De'Anthony Melton,USC,3,141,2757,1001,454,418,0.417,0.339,0.764,19.6,7.1,3.2,3,3.5,0.062,-0.2,1.2
